"","site","lat","long","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type"
"84","Tasker St",39.931447,-75.193386,2023-08-16 13:00:00,2023-08-23 11:58:00,0.279,"REG",0.361,"REG",0.085,"REG",0.55,"REG",1.275,"REG",0.434,"REG",0.116,"REG",0.038,"REG",0.12,"REG",0.073,"REG",0.112,"REG",0.078,"REG",0.108,"REG",0.009,"REG",0.201,"REG",0.03,"LOD",0.055,"REG",0.026,"LOD",0.089,"REG",0.057,"REG",0.024,"LOD",0.033,"REG",0.18,"REG",0.152,"REG","rotating"
"85","Bus Depot on Snyder",39.9275926,-75.195061,2023-08-09 11:10:00,2023-08-16 12:54:00,0.21,"REG",0.451,"REG",0.113,"REG",0.754,"REG",1.528,"REG",0.591,"REG",0.163,"REG",0.042,"REG",0.183,"REG",0.121,"REG",0.195,"REG",0.158,"REG",0.17,"REG",0.013,"REG",0.343,"REG",0.042,"REG",0.08,"REG",0.031,"REG",0.129,"REG",0.08,"REG",0.03,"REG",0.019,"REG",0.18,"REG",0.11,"REG","rotating"
"86","Bartram’s Garden",39.92896,-75.212541,2023-08-23 10:09:00,2023-08-30 09:43:00,0.191,"REG",0.284,"REG",0.07,"REG",0.441,"REG",0.986,"REG",0.347,"REG",0.094,"REG",0.062,"REG",0.133,"REG",0.093,"REG",0.118,"REG",0.078,"REG",0.05,"REG",0.009,"REG",0.073,"REG",0.024,"LOD",0.041,"LOD",0.018,"LOD",0.065,"REG",0.048,"REG",0.021,"LOD",0.011,"LOD",0.099,"REG",0.065,"REG","stationary"
"87","Essington & Mingo",39.9013173,-75.225026,2023-08-23 10:31:00,2023-08-30 09:54:00,0.191,"REG",0.288,"REG",0.07,"REG",0.476,"REG",1.025,"REG",0.376,"REG",0.1,"REG",0.052,"REG",0.159,"REG",0.106,"REG",0.105,"REG",0.078,"REG",0.046,"REG",0.013,"REG",0.058,"REG",0.024,"LOD",0.038,"LOD",0.018,"LOD",0.045,"LOD",0.04,"REG",0.017,"LOD",0.006,"LOD",0.073,"LOD",0.039,"LOD","stationary"
"88","61st & Passyunk",39.9182045,-75.208547,2023-08-23 10:41:00,2023-08-30 10:01:00,0.197,"REG",0.335,"REG",0.09,"REG",0.621,"REG",1.243,"REG",0.49,"REG",0.131,"REG",0.062,"REG",0.173,"REG",0.133,"REG",0.144,"REG",0.125,"REG",0.054,"REG",0.009,"REG",0.058,"REG",0.03,"LOD",0.059,"REG",0.026,"LOD",0.06,"REG",0.073,"REG",0.024,"LOD",0.006,"LOD",0.08,"LOD",0.049,"LOD","stationary"
"89","28th & Passyunk",39.9206109,-75.195588,2023-08-23 10:45:00,2023-08-30 10:04:00,0.608,"REG",0.988,"REG",0.807,"REG",5.495,"REG",7.898,"REG",4.588,"REG",0.907,"REG",0.062,"REG",2.105,"REG",1.992,"ULOD",1.602,"REG",2.856,"REG",0.523,"REG",0.013,"REG",0.343,"REG",0.525,"REG",0.615,"REG",0.368,"REG",0.015,"ND",1.078,"REG",0.268,"REG",0.006,"ND",0.398,"REG",0.254,"REG","stationary"
"90","24th & Ritner",39.9229639,-75.186874,2023-08-23 10:51:00,2023-08-30 10:09:00,0.216,"REG",0.348,"REG",0.1,"REG",0.647,"REG",1.311,"REG",0.511,"REG",0.136,"REG",0.057,"REG",0.179,"REG",0.126,"REG",0.131,"REG",0.137,"REG",0.046,"REG",0.009,"REG",0.059,"REG",0.036,"LOD",0.066,"REG",0.029,"REG",0.07,"REG",0.073,"REG",0.027,"LOD",0.011,"LOD",0.106,"REG",0.015,"ND","stationary"
"91","26th & Hartranft",39.9132713,-75.192201,2023-08-23 11:18:00,2023-08-30 10:19:00,0.254,"REG",0.327,"REG",0.13,"REG",0.862,"REG",1.573,"REG",0.683,"REG",0.179,"REG",0.057,"REG",0.273,"REG",0.293,"REG",0.26,"REG",0.384,"REG",0.141,"REG",0.009,"REG",0.272,"REG",0.097,"REG",0.139,"REG",0.063,"REG",0.43,"REG",0.182,"REG",0.072,"REG",0.006,"ND",0.832,"REG",0.681,"REG","stationary"
"92","28th & Point Breeze",39.9262478,-75.192317,2023-08-23 11:33:00,2023-08-30 10:26:00,0.223,"REG",0.395,"REG",0.13,"REG",0.892,"REG",1.64,"REG",0.719,"REG",0.173,"REG",0.057,"REG",0.24,"REG",0.213,"REG",0.208,"REG",0.266,"REG",0.112,"REG",0.013,"REG",0.097,"REG",0.054,"LOD",0.084,"REG",0.026,"LOD",0.065,"REG",0.107,"REG",0.038,"REG",0.017,"LOD",0.1,"REG",0.049,"LOD","stationary"
"93","25th & Point Breeze",39.9277176,-75.187397,2023-08-23 11:33:00,2023-08-30 10:31:00,0.21,"REG",0.344,"REG",0.085,"REG",0.576,"REG",1.215,"REG",0.455,"REG",0.121,"REG",0.057,"REG",0.16,"REG",0.166,"REG",0.137,"REG",0.125,"REG",0.062,"REG",0.009,"REG",0.097,"REG",0.03,"LOD",0.052,"REG",0.026,"LOD",0.06,"REG",0.065,"REG",0.024,"LOD",0.017,"LOD",0.093,"REG",0.049,"LOD","stationary"
"94","Morris & Point Breeze",39.9309466,-75.182994,2023-08-23 11:28:00,2023-08-30 10:37:00,0.21,"REG",0.305,"REG",0.08,"REG",0.541,"REG",1.136,"REG",0.426,"REG",0.115,"REG",0.052,"REG",0.133,"REG",0.1,"REG",0.099,"REG",0.09,"REG",0.033,"REG",0.009,"REG",0.044,"REG",0.03,"LOD",0.055,"REG",0.022,"LOD",0.079,"REG",0.065,"REG",0.024,"LOD",0.028,"REG",0.153,"REG",0.136,"REG","stationary"
"95","Wharton Park",39.93592,-75.18309,2023-08-23 12:38:00,2023-08-30 10:45:00,0.173,"REG",0.239,"REG",0.06,"REG",0.398,"REG",0.87,"REG",0.314,"REG",0.084,"REG",0.057,"REG",0.1,"REG",0.074,"REG",0.08,"REG",0.067,"LOD",0.046,"REG",0.009,"REG",0.092,"REG",0.018,"LOD",0.038,"LOD",0.022,"LOD",0.051,"LOD",0.04,"REG",0.017,"LOD",0.017,"LOD",0.06,"LOD",0.028,"LOD","rotating"
"96","Finnegan Playground",39.938448,-75.192335,2023-08-23 12:56:00,2023-08-30 10:50:00,0.18,"REG",0.299,"REG",0.075,"REG",0.519,"REG",1.073,"REG",0.408,"REG",0.111,"REG",0.057,"REG",0.127,"REG",0.121,"REG",0.125,"REG",0.102,"REG",0.029,"REG",0.031,"REG",0.035,"REG",0.037,"LOD",0.07,"REG",0.026,"LOD",0.095,"REG",0.082,"REG",0.028,"LOD",0.017,"LOD",0.208,"REG",0.169,"REG","rotating"
"97","Grays Ferry Ave",39.93924766,-75.1944459,2023-08-23 13:10:00,2023-08-30 10:55:00,0.23,"REG",0.501,"REG",0.116,"REG",0.788,"REG",1.635,"REG",0.624,"REG",0.164,"REG",0.057,"REG",0.154,"REG",0.127,"REG",0.132,"REG",0.126,"REG",0.042,"REG",0.009,"REG",0.049,"REG",0.043,"LOD",0.088,"REG",0.037,"REG",0.056,"REG",0.091,"REG",0.035,"LOD",0.011,"LOD",0.074,"LOD",0.055,"REG","rotating"
"98","Bartram’s Garden",39.92896,-75.212541,2023-08-30 09:43:00,2023-09-06 11:50:00,0.179,"REG",0.25,"REG",0.058,"REG",0.362,"REG",0.849,"REG",0.28,"REG",0.082,"REG",0.042,"REG",0.092,"REG",0.059,"REG",0.064,"REG",0.045,"LOD",0.034,"REG",0.013,"REG",0.087,"REG",0.017,"LOD",0.034,"LOD",0.015,"LOD",0.053,"REG",0.033,"REG",0.012,"LOD",0.042,"REG",0.085,"REG",0.044,"LOD","stationary"
"99","Essington & Mingo",39.9013173,-75.225026,2023-08-30 09:54:00,2023-09-06 11:07:00,0.204,"REG",0.369,"REG",0.078,"REG",0.548,"REG",1.199,"REG",0.429,"REG",0.119,"REG",0.038,"REG",0.125,"REG",0.085,"REG",0.096,"REG",0.069,"LOD",0.03,"REG",0.018,"REG",0.031,"REG",0.023,"LOD",0.048,"REG",0.022,"LOD",0.039,"LOD",0.049,"REG",0.015,"LOD",0.015,"LOD",0.066,"LOD",0.039,"LOD","stationary"
"100","Morris & Point Breeze",39.9309466,-75.182994,2023-09-06 09:37:00,2023-09-20 11:52:00,0.195,"REG",0.455,"REG",0.104,"REG",0.893,"REG",1.647,"REG",0.741,"REG",0.152,"REG",0.121,"REG",0.173,"REG",0.109,"REG",0.117,"REG",0.091,"REG",0.043,"REG",0.015,"REG",0.029,"REG",0.03,"LOD",0.064,"REG",0.03,"REG",0.08,"REG",0.083,"REG",0.02,"REG",0.132,"REG",0.111,"REG",0.124,"REG","stationary"
"101","25th & Point Breeze",39.9277176,-75.187397,2023-09-06 09:45:00,2023-09-20 12:01:00,0.159,"REG",0.48,"REG",0.104,"REG",0.89,"REG",1.633,"REG",0.741,"REG",0.149,"REG",0.114,"REG",0.165,"REG",0.139,"REG",0.132,"REG",0.105,"REG",0.054,"REG",0.047,"REG",0.041,"REG",0.027,"LOD",0.058,"REG",0.026,"REG",0.058,"REG",0.073,"REG",0.018,"REG",0.027,"REG",0.054,"REG",0.034,"LOD","stationary"
"102","25th & Point Breeze",39.9277176,-75.187397,2023-08-30 10:31:00,2023-09-06 09:45:00,0.194,"REG",0.411,"REG",0.099,"REG",0.714,"REG",1.418,"REG",0.562,"REG",0.152,"REG",0.043,"REG",0.18,"REG",0.153,"REG",0.143,"REG",0.151,"REG",0.038,"REG",0.013,"REG",0.036,"REG",0.03,"LOD",0.066,"REG",0.026,"LOD",0.064,"REG",0.083,"REG",0.022,"LOD",0.021,"LOD",0.1,"REG",0.015,"ND","stationary"
"103","Morris & Point Breeze",39.9309466,-75.182994,2023-08-30 10:37:00,2023-09-06 09:37:00,0.263,"REG",0.505,"REG",0.124,"REG",0.893,"REG",1.785,"REG",0.699,"REG",0.194,"REG",0.048,"REG",0.24,"REG",0.16,"REG",0.156,"REG",0.14,"REG",0.038,"REG",0.013,"REG",0.05,"REG",0.042,"LOD",0.091,"REG",0.03,"REG",0.118,"REG",0.1,"REG",0.033,"REG",0.037,"REG",0.22,"REG",0.169,"REG","stationary"
"104","Wharton Park",39.93592,-75.18309,2023-08-30 10:45:00,2023-09-06 09:29:00,0.188,"REG",0.328,"REG",0.085,"REG",0.557,"REG",1.158,"REG",0.436,"REG",0.121,"REG",0.048,"REG",0.114,"REG",0.08,"REG",0.085,"REG",0.07,"LOD",0.034,"REG",0.013,"REG",0.065,"REG",0.03,"LOD",0.063,"REG",0.06,"REG",0.089,"REG",0.067,"REG",0.019,"LOD",0.021,"LOD",0.121,"REG",0.034,"LOD","rotating"
"105","Finnegan Playground",39.938448,-75.192335,2023-08-30 10:50:00,2023-09-06 09:17:00,0.201,"REG",0.307,"REG",0.08,"REG",0.564,"REG",1.152,"REG",0.443,"REG",0.121,"REG",0.029,"REG",0.127,"REG",0.073,"REG",0.111,"REG",0.07,"LOD",0.122,"REG",0.009,"REG",0.37,"REG",0.024,"LOD",0.053,"REG",0.023,"LOD",0.152,"REG",0.058,"REG",0.016,"LOD",0.015,"LOD",0.281,"REG",0.191,"REG","rotating"
"106","Grays Ferry Ave",39.93924766,-75.1944459,2023-08-30 10:55:00,2023-09-06 09:10:00,0.245,"REG",0.499,"REG",0.12,"REG",0.845,"REG",1.709,"REG",0.666,"REG",0.179,"REG",0.024,"REG",0.141,"REG",0.094,"REG",0.105,"REG",0.082,"REG",0.043,"REG",0.009,"REG",0.079,"REG",0.03,"LOD",0.07,"REG",0.068,"REG",0.059,"REG",0.067,"REG",0.019,"LOD",0.015,"LOD",0.101,"REG",0.051,"LOD","rotating"
"107","24th & Ritner",39.9229639,-75.186874,2023-09-06 09:57:00,2023-09-20 12:17:00,0.161,"REG",0.435,"REG",0.093,"REG",0.794,"REG",1.483,"REG",0.662,"REG",0.132,"REG",0.11,"REG",0.177,"REG",0.12,"REG",0.117,"REG",0.072,"REG",0.025,"REG",0.017,"REG",0.006,"ND",0.02,"LOD",0.046,"REG",0.019,"REG",0.032,"REG",0.057,"REG",0.014,"LOD",0.016,"REG",0.037,"LOD",0.02,"LOD","stationary"
"108","26th & Hartranft",39.9132713,-75.192201,2023-09-06 10:09:00,2023-09-20 12:30:00,0.179,"REG",0.424,"REG",0.156,"REG",1.351,"REG",2.11,"REG",1.123,"REG",0.228,"REG",0.11,"REG",0.312,"REG",0.288,"REG",0.303,"REG",0.426,"REG",0.168,"REG",0.012,"REG",0.151,"REG",0.095,"REG",0.143,"REG",0.077,"REG",0.334,"REG",0.239,"REG",0.061,"REG",0.013,"REG",0.493,"REG",0.508,"REG","stationary"
"109","28th & Passyunk",39.9206109,-75.195588,2023-09-06 10:30:00,2023-09-20 11:26:00,0.201,"REG",0.545,"REG",0.214,"REG",2.173,"REG",3.133,"REG",1.82,"REG",0.353,"REG",0.11,"REG",0.602,"REG",0.575,"REG",0.528,"REG",0.784,"REG",0.232,"REG",0.02,"REG",0.134,"REG",0.092,"REG",0.171,"REG",0.095,"REG",0.135,"REG",0.333,"REG",0.069,"REG",0.016,"REG",0.157,"REG",0.133,"REG","stationary"
"110","61st & Passyunk",39.9182045,-75.208547,2023-09-06 10:55:00,2023-09-20 11:02:00,0.254,"REG",1.093,"REG",0.248,"REG",2.292,"REG",3.887,"REG",1.896,"REG",0.396,"REG",0.053,"REG",0.513,"REG",0.327,"REG",0.324,"REG",0.284,"REG",0.115,"REG",0.015,"REG",0.041,"REG",0.068,"REG",0.156,"REG",0.181,"REG",0.061,"REG",0.188,"REG",0.05,"REG",0.019,"REG",0.05,"LOD",0.025,"LOD","stationary"
"111","61st & Passyunk",39.9182045,-75.208547,2023-08-30 10:01:00,2023-09-06 10:47:00,0.291,"REG",0.765,"REG",0.182,"REG",1.352,"REG",2.59,"REG",1.051,"REG",0.301,"REG",0.038,"REG",0.336,"REG",0.237,"REG",0.23,"REG",0.208,"REG",0.063,"REG",0.013,"REG",0.031,"REG",0.059,"REG",0.128,"REG",0.048,"REG",0.063,"REG",0.132,"REG",0.043,"REG",0.021,"LOD",0.08,"LOD",0.039,"LOD","stationary"
"112","28th & Passyunk",39.9206109,-75.195588,2023-08-30 10:04:00,2023-09-06 10:21:00,0.348,"REG",0.716,"REG",0.287,"REG",2.514,"REG",3.865,"REG",2.009,"REG",0.505,"REG",0.038,"REG",1.057,"REG",0.984,"REG",0.915,"REG",1.234,"REG",0.29,"REG",0.009,"REG",0.158,"REG",0.138,"REG",0.261,"REG",0.127,"REG",0.165,"REG",0.421,"REG",0.104,"REG",0.015,"LOD",0.311,"REG",0.157,"REG","stationary"
"113","24th & Ritner",39.9229639,-75.186874,2023-08-30 10:09:00,2023-09-06 09:57:00,0.231,"REG",0.402,"REG",0.094,"REG",0.678,"REG",1.405,"REG",0.532,"REG",0.146,"REG",0.043,"REG",0.212,"REG",0.166,"REG",0.187,"REG",0.186,"REG",0.1,"REG",0.009,"REG",0.116,"REG",0.036,"LOD",0.066,"REG",0.03,"REG",0.088,"REG",0.083,"REG",0.022,"LOD",0.021,"LOD",0.14,"REG",0.088,"REG","stationary"
"114","26th & Hartranft",39.9132713,-75.192201,2023-08-30 10:19:00,2023-09-06 10:09:00,0.349,"REG",0.609,"REG",0.253,"REG",1.911,"REG",3.122,"REG",1.504,"REG",0.407,"REG",0.043,"REG",1.086,"REG",1.026,"REG",0.994,"REG",1.343,"REG",0.299,"REG",0.009,"REG",0.301,"REG",0.168,"REG",0.233,"REG",0.135,"REG",0.461,"REG",0.405,"REG",0.118,"REG",0.006,"ND",0.775,"REG",0.657,"REG","stationary"
"115","28th & Point Breeze",39.9262478,-75.192317,2023-08-30 10:26:00,2023-09-06 09:50:00,0.206,"REG",0.373,"REG",0.099,"REG",0.719,"REG",1.397,"REG",0.562,"REG",0.157,"REG",0.047,"REG",0.186,"REG",0.146,"REG",0.149,"REG",0.163,"REG",0.043,"REG",0.013,"REG",0.022,"REG",0.036,"LOD",0.07,"REG",0.026,"LOD",0.074,"REG",0.091,"REG",0.022,"LOD",0.026,"REG",0.107,"REG",0.072,"REG","stationary"
"116","28th & Point Breeze",39.9262478,-75.192317,2023-09-06 09:50:00,2023-09-20 12:09:00,0.153,"REG",0.384,"REG",0.098,"REG",0.867,"REG",1.502,"REG",0.721,"REG",0.146,"REG",0.11,"REG",0.169,"REG",0.131,"REG",0.143,"REG",0.157,"REG",0.057,"REG",0.015,"REG",0.055,"REG",0.034,"REG",0.064,"REG",0.032,"REG",0.07,"REG",0.093,"REG",0.022,"REG",0.03,"REG",0.066,"REG",0.048,"REG","stationary"
"117","Bartram’s Garden",39.92896,-75.212541,2023-09-06 11:37:00,2023-09-20 09:51:00,0.121,"REG",0.292,"REG",0.063,"REG",0.533,"REG",1.009,"REG",0.439,"REG",0.094,"REG",0.119,"REG",0.117,"REG",0.07,"REG",0.078,"REG",0.059,"REG",0.016,"REG",0.017,"REG",0.006,"ND",0.017,"LOD",0.037,"REG",0.017,"REG",0.029,"LOD",0.042,"REG",0.011,"LOD",0.033,"REG",0.029,"LOD",0.016,"LOD","stationary"
"118","Bartram’s Garden",39.92896,-75.212541,2023-09-20 09:51:00,2023-09-27 09:40:00,0.2,"REG",0.241,"REG",0.054,"REG",0.409,"REG",0.904,"REG",0.341,"REG",0.068,"REG",0.142,"REG",0.1,"REG",0.06,"REG",0.052,"REG",0.034,"LOD",0.006,"ND",0.018,"REG",0.01,"ND",0.012,"LOD",0.024,"LOD",0.011,"LOD",0.02,"LOD",0.033,"REG",0.005,"LOD",0.026,"REG",0.02,"LOD",0.007,"LOD","stationary"
"119","Essington & Mingo",39.9013173,-75.225026,2023-09-20 10:24:00,2023-09-27 09:54:00,0.262,"REG",0.415,"REG",0.094,"REG",0.755,"REG",1.526,"REG",0.625,"REG",0.13,"REG",0.152,"REG",0.273,"REG",0.139,"REG",0.129,"REG",0.081,"REG",0.026,"REG",0.018,"REG",0.01,"ND",0.024,"LOD",0.045,"REG",0.023,"LOD",0.025,"LOD",0.05,"REG",0.012,"LOD",0.015,"LOD",0.026,"ND",0.007,"LOD","stationary"
"120","61st & Passyunk",39.9182045,-75.208547,2023-09-20 10:55:00,2023-09-27 09:59:00,0.294,"REG",0.645,"REG",0.159,"REG",1.413,"REG",2.511,"REG",1.161,"REG",0.252,"REG",0.147,"REG",0.26,"REG",0.186,"REG",0.181,"REG",0.163,"REG",0.059,"REG",0.013,"REG",0.017,"REG",0.042,"LOD",0.098,"REG",0.038,"REG",0.049,"REG",0.108,"REG",0.029,"LOD",0.015,"LOD",0.054,"LOD",0.018,"LOD","stationary"
"121","28th & Passyunk",39.9206109,-75.195588,2023-09-20 11:26:00,2023-09-27 10:05:00,0.282,"REG",0.37,"REG",0.095,"REG",0.821,"REG",1.568,"REG",0.679,"REG",0.142,"REG",0.152,"REG",0.174,"REG",0.127,"REG",0.162,"REG",0.128,"REG",0.147,"REG",0.013,"REG",0.103,"REG",0.024,"LOD",0.056,"REG",0.026,"LOD",0.04,"LOD",0.067,"REG",0.016,"LOD",0.021,"LOD",0.041,"LOD",0.018,"LOD","stationary"
"122","Morris & Point Breeze",39.9309466,-75.182994,2023-09-20 11:52:00,2023-09-27 10:19:00,0.264,"REG",0.332,"REG",0.08,"REG",0.632,"REG",1.308,"REG",0.522,"REG",0.11,"REG",0.153,"REG",0.127,"REG",0.08,"REG",0.079,"REG",0.058,"LOD",0.005,"REG",0.013,"REG",0.01,"ND",0.018,"LOD",0.042,"LOD",0.019,"LOD",0.03,"LOD",0.05,"REG",0.012,"LOD",0.06,"REG",0.034,"LOD",0.018,"LOD","stationary"
"123","25th & Point Breeze",39.9277176,-75.187397,2023-09-20 12:01:00,2023-09-27 10:27:00,0.233,"REG",0.354,"REG",0.075,"REG",0.62,"REG",1.282,"REG",0.515,"REG",0.105,"REG",0.153,"REG",0.114,"REG",0.093,"REG",0.085,"REG",0.058,"LOD",0.014,"REG",0.022,"REG",0.01,"ND",0.018,"LOD",0.039,"LOD",0.015,"LOD",0.025,"LOD",0.042,"REG",0.009,"LOD",0.032,"REG",0.027,"LOD",0.007,"LOD","stationary"
"124","28th & Point Breeze",39.9262478,-75.192317,2023-09-20 12:08:00,2023-09-27 10:34:00,0.251,"REG",0.345,"REG",0.08,"REG",0.639,"REG",1.315,"REG",0.529,"REG",0.11,"REG",0.148,"REG",0.134,"REG",0.087,"REG",0.092,"REG",0.058,"LOD",0.03,"REG",0.013,"REG",0.012,"REG",0.018,"LOD",0.039,"LOD",0.019,"LOD",0.035,"LOD",0.042,"REG",0.009,"LOD",0.026,"REG",0.027,"LOD",0.013,"LOD","stationary"
"125","24th & Ritner",39.9229639,-75.186874,2023-09-20 12:16:00,2023-09-27 10:44:00,0.283,"REG",0.392,"REG",0.085,"REG",0.686,"REG",1.446,"REG",0.565,"REG",0.121,"REG",0.162,"REG",0.154,"REG",0.1,"REG",0.111,"REG",0.07,"LOD",0.039,"REG",0.018,"REG",0.027,"REG",0.024,"LOD",0.046,"REG",0.019,"LOD",0.045,"LOD",0.05,"REG",0.012,"LOD",0.032,"REG",0.034,"LOD",0.013,"LOD","stationary"
"126","26th & Hartranft",39.9132713,-75.192201,2023-09-20 12:29:00,2023-09-27 10:55:00,0.276,"REG",0.371,"REG",0.11,"REG",0.928,"REG",1.685,"REG",0.765,"REG",0.163,"REG",0.167,"REG",0.214,"REG",0.18,"REG",0.214,"REG",0.188,"REG",0.097,"REG",0.013,"REG",0.074,"REG",0.042,"LOD",0.077,"REG",0.034,"REG",0.118,"REG",0.092,"REG",0.026,"LOD",0.015,"LOD",0.154,"REG",0.105,"REG","stationary"
