week_num,begin_date,end_date,site_id,site,lat,long,benzene,toluene,etbenz,xylenes,btex
1,6/7,6/14,9,26th St.,39.9132713,-75.192201,0.31,0.33,0.11,0.73,1.48
2,6/28,7/5,9,26th St.,39.9132713,-75.192201,0.35,0.32,0.09,0.63,1.40
3,7/5,7/12,9,26th St.,39.9132713,-75.192201,0.36,0.51,0.21,1.41,2.48
1,6/7,6/14,4,28th & Passyunk,39.9206109,-75.195588,0.28,0.24,0.05,0.39,0.96
2,6/28,7/5,4,28th & Passyunk,39.9206109,-75.195588,0.37,0.38,0.15,1.12,2.02
3,7/5,7/12,4,28th & Passyunk,39.9206109,-75.195588,0.44,0.86,0.42,3.52,5.24
1,6/7,6/14,3,61st & Passyunk,39.9182045,-75.208547,0.35,0.72,0.17,1.21,2.44
2,6/28,7/5,3,61st & Passyunk,39.9182045,-75.208547,0.34,0.46,0.11,0.75,1.66
3,7/5,7/12,3,61st & Passyunk,39.9182045,-75.208547,0.27,0.88,0.20,1.53,2.87
1,6/7,6/14,1,Bartrams,39.92896,-75.212541,0.25,0.24,0.05,0.30,0.83
1,6/7,6/14,1,Bartrams,39.92896,-75.212541,0.25,0.24,0.05,0.30,0.84
2,6/28,7/5,1,Bartrams,39.92896,-75.212541,0.29,0.27,0.06,0.37,0.98
3,7/5,7/12,1,Bartrams,39.92896,-75.212541,0.17,0.29,0.07,0.47,1.00
2,6/28,7/5,2,Essington,39.9013173,-75.225026,0.33,0.74,0.16,1.15,2.38
2,6/28,7/5,2,Essington,39.9013173,-75.225026,0.31,0.72,0.15,1.10,2.28
3,7/5,7/12,2,Essington,39.9013173,-75.225026,0.19,0.38,0.10,0.74,1.41
1,6/7,6/14,7,Point Breeze Far,39.9309466,-75.182994,0.30,0.36,0.08,0.54,1.29
2,6/28,7/5,7,Point Breeze Far,39.9309466,-75.182994,0.32,0.34,0.10,0.72,1.49
3,7/5,7/12,7,Point Breeze Far,39.9309466,-75.182994,0.20,0.37,0.09,0.66,1.32
1,6/7,6/14,6,Point Breeze Mid,39.9277176,-75.187397,0.26,0.33,0.07,0.46,1.12
2,6/28,7/5,6,Point Breeze Mid,39.9277176,-75.187397,0.29,0.34,0.08,0.49,1.20
3,7/5,7/12,6,Point Breeze Mid,39.9277176,-75.187397,0.16,0.36,0.09,0.63,1.23
1,6/7,6/14,5,Point Breeze Near,39.9262478,-75.192317,0.29,0.31,0.07,0.53,1.20
2,6/28,7/5,5,Point Breeze Near,39.9262478,-75.192317,0.32,0.32,0.08,0.54,1.26
3,7/5,7/12,5,Point Breeze Near,39.9262478,-75.192317,0.20,0.37,0.10,0.74,1.41
1,6/7,6/14,8,Ritner,39.9229639,-75.186874,0.29,0.31,0.07,0.46,1.12
2,6/28,7/5,8,Ritner,39.9229639,-75.186874,0.34,0.39,0.10,0.67,1.50
3,7/5,7/12,8,Ritner,39.9229639,-75.186874,0.23,0.41,0.11,0.80,1.54
3,7/5,7/12,8,Ritner,39.9229639,-75.186874,0.22,0.40,0.11,0.79,1.51